ID,Education,Experience,Position,Employment Status,Base Salary,Salary + Equity + Bonus,Currency Code,Base in USD,TTP in USD,Hourly Wage,What is your current hourly rate? ,What is the currency of your compensation? (Please use 3 letter format) ,Int't - COLI,US - COLI,Merged COLI,"Adjusted
Base USD",Adjusted TTP USD,Equity,Equity Value,USD salary - current,USD salart - last year,"What is your current annual salary in CAD before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in CAD before taxes this time last year? (Not including bonuses, stock options, or other benefits)","What is your current annual salary in EUR before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in EUR before taxes this time last year? (Not including bonuses, stock options, or other benefits)",What is your local currency?,"What is your current annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes? (Not including bonuses, stock options, or other benefits)","What was your annual salary in {{field:7d458495-8fa9-484b-b039-e029a209442d}} before taxes this time last year? (Not including bonuses, stock options, or other benefits)",Will you be receiving a bonus this year?,"If all things went well and you were to receive your full bonus for this year, approximately what would the value be in {{field:7d458495-8fa9-484b-b039-e029a209442d}}? (If you aren't sure feel free to skip)",Company Type,Company Type,Industry,Industry,Team Size,Residence - Country,City of Residence,State of Residence,Residence - Undefined,Residence - Lat,Residence - Long,latlng,Residence - Undef.,Residence - Metro,Residence - Country,Office - Same City,Office - Country,Office - Undefined,Office - Lat,Office - Long,Office - LatLng,Office - Metro,Office - Country Clean,Gender,Under-represented
7,Bachelor's Degree,Between 3 and 6 years,UX Research Lead,Employed - Full time,30100,30100,USD,"$30,100","$30,100",FALSE,,USD,61.65,,61.6525,"$48,822","$48,822",TRUE,,30100,24000,,,,,,,,TRUE,,Agency,Agency,Public Services,Utilities & Public Services,1,Costa Rica,,,,9.3547,-83.6348,"9.3547,-83.6348",,Santa Elena,Costa Rica,FALSE,Costa Rica,,9.9281,-84.0907,"9.9281,-84.0907",San Jose,Costa Rica,Woman,TRUE
12,Master's Degree,Between 1 and 3 years,Director of UX Research,Employed - Full time,109000,119000,CAD,"$85,020","$92,820",FALSE,,CAD,75.28,,75.27975,"$112,939","$123,300",FALSE,,,,109000,95000,,,,,,TRUE,10000,Large Enterprise (201+),Large Enterprise (201+),Loyalty,Retail,10 to 14,Canada,,,,49.25559,-123.099057,"49.25559,-123.099057",,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,Canada,FALSE,Canada,,43.714717,-79.384813,"43.714717,-79.384813",Toronto,Canada,Woman,FALSE
14,Master's Degree,Between 3 and 6 years,Quantitative Researcher,Employed - Full time,92000,92000,CAD,"$71,760","$71,760",FALSE,,CAD,73.79,,73.79,"$97,249","$97,249",TRUE,4000,,,92000,88000,,,,,,FALSE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,2 to 4,Canada,,,,51.015705,-114.059957,"51.015705,-114.059957",,Calgary,Canada,FALSE,Canada,,49.25559,-123.099057,"49.25559,-123.099057",Lower Mainland--Southwest / Lower Mainland--Sud-ouest,Canada,Woman,FALSE
15,Bachelor's Degree,Less than 1 year,Designer,Self-Employed / Freelancer,6000,6000,USD,"$6,000","$6,000",TRUE,50,USD,35.25,,35.251125,"$17,021","$17,021",FALSE,,6000,11667,,,,,,,,FALSE,,Early Stage Startup (<50 people),Small Business (<50),Digital Health,Healthcare & Wellness,1,Brazil,,,,-22.892466,-43.370621,"-22.892466,-43.370621",,Vila Valqueire,Brazil,FALSE,USA,TRUE,37.0902,-95.7129,"37.0902,-95.7129","Coffeyville, KS",United States,Woman,TRUE
19,Master's Degree,More than 10 years,UX Research Manager,Employed - Full time,220000,220000,USD,"$220,000","$220,000",FALSE,,USD,98.08,,98.07525,"$224,318","$224,318",TRUE,220000,220000,220000,,,,,,,,TRUE,,Large Enterprise (201+),Large Enterprise (201+),Software,Software,15+,Japan,,,,35.6762,139.6503,"35.6762,139.6503",,Hanegi,Japan,FALSE,Japan,,35.6762,139.6503,"35.6762,139.6503",Hanegi,Japan,Woman,FALSE
20,Bachelor's Degree,Between 1 and 3 years,Senior UX Researcher,Employed - Full time,107000,119000,CAD,"$83,460","$92,820",FALSE,,CAD,76.08,,76.08,"$109,700","$122,003",,,,,107000,72000,,,,,,TRUE,12000,Large Enterprise (201+),Large Enterprise (201+),Software,Software,5 to 9,Canada,,,,43.714717,-79.384813,"43.714717,-79.384813",,Toronto,Canada,FALSE,Canada,,43.581042,-79.668576,"43.581042,-79.668576",Toronto,Canada,Woman,TRUE
21,Master's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,55000,55000,GBP,"$74,800","$74,800",FALSE,,GBP,82.71,,82.707625,"$90,439","$90,439",FALSE,,,,,,,,,55000,0,FALSE,,Early Stage Startup (<50 people),Small Business (<50),Digital Health,Healthcare & Wellness,5 to 9,Finland,,,,60.220073,24.972918,"60.220073,24.972918",,Veräjämäki,Finland,FALSE,United Kingdom,,51.518155,-0.133016,"51.518155,-0.133016",Russell Square,United Kingdom,Man,TRUE
22,Bachelor's Degree,Between 1 and 3 years,UX Researcher,Employed - Full time,74400,74400,SGD,"$56,544","$56,544",FALSE,,SGD,92.29,,92.285375,"$61,271","$61,271",FALSE,,,,,,,,,74400,74400,FALSE,,Early Stage Startup (<50 people),Small Business (<50),Software,Software,1,Singapore,,,,1.342691,103.83787,"1.342691,103.83787",,Bright Hill Crescent,Singapore,FALSE,Malaysia,,5.4164,100.3327,"5.4164,100.3327",George Town,Malaysia,Woman,TRUE
23,"Doctorate (e.g., PhD, EdD)",Between 1 and 3 years,Senior UX Researcher,Employed - Full time,85000,93000,CAD,"$66,300","$72,540",FALSE,,CAD,76.08,,76.08,"$87,145","$95,347",,,,,85000,83000,,,,,,TRUE,8000,Large Enterprise (201+),Large Enterprise (201+),Education,Education,5 to 9,Canada,,,,43.581042,-79.668576,"43.581042,-79.668576",,Toronto,Canada,FALSE,Canada,,43.4516,-80.4925,"43.4516,-80.4925",Kitchener--Waterloo--Barrie,Canada,Woman,TRUE
32,Bachelor's Degree,Between 1 and 3 years,Junior/Associate UX Researcher,Self-Employed / Freelancer,1000,1000,EUR,"$1,230","$1,230",FALSE,,EUR,62.87,,62.869625,"$1,956","$1,956",TRUE,,,,,,1000,0,,,,TRUE,,Early Stage Startup (<50 people),Small Business (<50),Consulting,Professional & Business Services,10 to 14,Spain,,,,42.815386,-1.648553,"42.815386,-1.648553",,Primer Ensanche,Spain,FALSE,USA,,41.88531,-87.62213,"41.88531,-87.62213","Chicago-Naperville-Elgin, IL-IN-WI",United States,Woman,TRUE
